birdnet_scientific,birdnet_common,likelihood_lower_murray,ioc_scientific,ioc_rank,ioc_species,ioc_known_synonyms,ioc_map_method
Anthochaera carunculata,Red Wattlebird,Likely (recorded),Anthochaera carunculata,species,Anthochaera carunculata,,identity
Petroica goodenovii,Red-capped Robin,Likely (recorded),Petroica goodenovii,species,Petroica goodenovii,,identity
Cincloramphus mathewsi,Rufous Songlark,Likely (recorded),Cincloramphus mathewsi,species,Cincloramphus mathewsi,,identity
Todiramphus sanctus,Sacred Kingfisher,Likely (recorded),Todiramphus sanctus,species,Todiramphus sanctus,,identity
Chroicocephalus novaehollandiae,Silver Gull,Likely (recorded),Chroicocephalus novaehollandiae,species,Chroicocephalus novaehollandiae,,identity
Zosterops lateralis,Silvereye,Likely (recorded),Zosterops lateralis,species,Zosterops lateralis,,identity
Gavicalis virescens,Singing Honeyeater,Likely (recorded),Gavicalis virescens,species,Gavicalis virescens,,identity
Aphelocephala leucopsis,Southern Whiteface,Likely (recorded),Aphelocephala leucopsis,species,Aphelocephala leucopsis,,identity
Zapornia tabuensis,Spotless Crake,Possible (uncommon),Zapornia tabuensis,species,Zapornia tabuensis,,identity
Streptopelia chinensis,Spotted Dove,Likely (recorded),Streptopelia chinensis,species,Streptopelia chinensis,,identity
Coturnix pectoralis,Stubble Quail,Likely (recorded),Coturnix pectoralis,species,Coturnix pectoralis,,identity
Malurus cyaneus,Superb Fairywren,Likely (recorded),Malurus cyaneus,species,Malurus cyaneus,,identity
Circus approximans,Swamp Harrier,Likely (recorded),Circus approximans,species,Circus approximans,,identity
Petrochelidon nigricans,Tree Martin,Likely (recorded),Petrochelidon nigricans,species,Petrochelidon nigricans,,identity
Hirundo neoxena,Welcome Swallow,Likely (recorded),Hirundo neoxena,species,Hirundo neoxena,,identity
Haliastur sphenurus,Whistling Kite,Likely (recorded),Haliastur sphenurus,species,Haliastur sphenurus,,identity
Eudocimus albus,White Ibis,Likely (recorded),Eudocimus albus,species,Eudocimus albus,,identity
Haliaeetus leucogaster,White-bellied Sea-Eagle,Likely (recorded),Haliaeetus leucogaster,species,Haliaeetus leucogaster,,identity
Artamus superciliosus,White-browed Woodswallow,Likely (recorded),Artamus superciliosus,species,Artamus superciliosus,,identity
Egretta novaehollandiae,White-faced Heron,Likely (recorded),Egretta novaehollandiae,species,Egretta novaehollandiae,,identity
Ptilotula penicillata,White-plumed Honeyeater,Likely (recorded),Ptilotula penicillata,species,Ptilotula penicillata,,identity
Lalage tricolor,White-winged Triller,Likely (recorded),Lalage tricolor,species,Lalage tricolor,,identity
Rhipidura leucophrys,Willie-wagtail,Likely (recorded),Rhipidura leucophrys,species,Rhipidura leucophrys,,identity
Acanthiza nana,Yellow Thornbill,Likely (recorded),Acanthiza nana,species,Acanthiza nana,,identity
Acanthiza chrysorrhoa,Yellow-rumped Thornbill,Likely (recorded),Acanthiza chrysorrhoa,species,Acanthiza chrysorrhoa,,identity
